"C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"SRR2967295","SRR2967439","SRR2967433","SRR2967141","SRR2967448","SRR2967436","SRR2967194","SRR2967435","SRR2967142","SRR2967485"
"SRR2967317","SRR2967449","SRR2967434","SRR2967144","SRR2967282","SRR2967438","SRR2967235","SRR2967441","SRR2967143","SRR2967489"
"SRR2967328","SRR2967452","SRR2967437","SRR2967147","SRR2967297","SRR2967445","SRR2967247","SRR2967443","SRR2967145","SRR2967492"
"SRR2967140","SRR2967454","SRR2967442","SRR2967153","SRR2967299","SRR2967446","SRR2967264","SRR2967451","SRR2967148","SRR2967495"
"SRR2967149","SRR2967463","SRR2967440","SRR2967156","SRR2967304","SRR2967456","SRR2967107","SRR2967453","SRR2967152","SRR2967501"
"SRR2967150","SRR2967470","SRR2967444","SRR2967157","SRR2967310","SRR2967460","SRR2967545","SRR2967455","SRR2967154","SRR2967502"
"SRR2967151","SRR2967473","SRR2967447","SRR2967158","SRR2967315","SRR2967465","SRR2967573","SRR2967472","SRR2967159","SRR2967506"
"SRR2967155","SRR2967482","SRR2967450","SRR2967161","SRR2967318","SRR2967468","SRR2967574","SRR2967474","SRR2967162","SRR2967510"
"SRR2967160","SRR2967483","SRR2967457","SRR2967164","SRR2967320","SRR2967471","SRR2967576","SRR2967475","SRR2967167","SRR2967512"
"SRR2967166","SRR2967490","SRR2967458","SRR2967165","SRR2967322","SRR2967280","SRR2967578","SRR2967477","SRR2967184","SRR2967517"
"SRR2967170","SRR2967491","SRR2967459","SRR2967168","SRR2967331","SRR2967284","SRR2967581","SRR2967480","SRR2967188","SRR2967519"
"SRR2967174","SRR2967494","SRR2967461","SRR2967169","SRR2967343","SRR2967287","SRR2967582","SRR2967484","SRR2967192","SRR2967526"
"SRR2967176","SRR2967498","SRR2967462","SRR2967171","SRR2967146","SRR2967288","SRR2967583","SRR2967486","SRR2967202","SRR2967407"
"SRR2967177","SRR2967496","SRR2967464","SRR2967172","SRR2967163","SRR2967289","SRR2967584","SRR2967493","SRR2967207",
"SRR2967178","SRR2967497","SRR2967467","SRR2967173","SRR2967201","SRR2967290","SRR2967585","SRR2967500","SRR2967212",
"SRR2967179","SRR2967499","SRR2967466","SRR2967175","SRR2967222","SRR2967291","SRR2967586","SRR2967505","SRR2967215",
"SRR2967181","SRR2967504","SRR2967469","SRR2967180","SRR2967239","SRR2967293","SRR2967588","SRR2967508","SRR2967224",
"SRR2967182","SRR2967507","SRR2967476","SRR2967186","SRR2967241","SRR2967294","SRR2967590","SRR2967515","SRR2967265",
"SRR2967183","SRR2967509","SRR2967478","SRR2967187","SRR2967255","SRR2967296","SRR2967593","SRR2967523","SRR2967267",
"SRR2967185","SRR2967514","SRR2967479","SRR2967191","SRR2967262","SRR2967298","SRR2967594","SRR2967525","SRR2967274",
"SRR2967189","SRR2967518","SRR2967481","SRR2967197","SRR2967266","SRR2967300","SRR2967595","SRR2967528","SRR2967103",
"SRR2967190","SRR2967520","SRR2967487","SRR2967198","SRR2967271","SRR2967303","SRR2967596","SRR2967292","SRR2967113",
"SRR2967193","SRR2967522","SRR2967488","SRR2967204","SRR2967272","SRR2967311","SRR2967597","SRR2967302","SRR2967114",
"SRR2967195","SRR2967527","SRR2967503","SRR2967205","SRR2967109","SRR2967312","SRR2967598","SRR2967319","SRR2967115",
"SRR2967196","SRR2967285","SRR2967511","SRR2967211","SRR2967110","SRR2967314","SRR2967599","SRR2967346","SRR2967121",
"SRR2967199","SRR2967301","SRR2967513","SRR2967213","SRR2967579","SRR2967316","SRR2967600","SRR2967350","SRR2967125",
"SRR2967200","SRR2967309","SRR2967516","SRR2967216","SRR2967356","SRR2967321","SRR2967601","SRR2967531","SRR2967132",
"SRR2967203","SRR2967323","SRR2967521","SRR2967217","SRR2967357","SRR2967324","SRR2967602","SRR2967539","SRR2967133",
"SRR2967206","SRR2967333","SRR2967524","SRR2967223","SRR2967363","SRR2967325","SRR2967603","SRR2967550","SRR2967135",
"SRR2967208","SRR2967337","SRR2967279","SRR2967226","SRR2967370","SRR2967326","SRR2967604","SRR2967551","SRR2967138",
"SRR2967209","SRR2967347","SRR2967281","SRR2967234","SRR2967371","SRR2967327","SRR2967605","SRR2967554","SRR2967544",
"SRR2967210","SRR2967529","SRR2967283","SRR2967242","SRR2967373","SRR2967329","SRR2967606","SRR2967558","SRR2967572",
"SRR2967214","SRR2967530","SRR2967286","SRR2967244","SRR2967375","SRR2967330","SRR2967354","SRR2967559","SRR2967577",
"SRR2967219","SRR2967532","SRR2967305","SRR2967253","SRR2967379","SRR2967334","SRR2967355","SRR2967563","SRR2967587",
"SRR2967220","SRR2967533","SRR2967306","SRR2967254","SRR2967380","SRR2967335","SRR2967365","SRR2967565","SRR2967589",
"SRR2967221","SRR2967534","SRR2967307","SRR2967260","SRR2967381","SRR2967336","SRR2967374","SRR2967567","SRR2967592",
"SRR2967225","SRR2967536","SRR2967308","SRR2967268","SRR2967383","SRR2967340","SRR2967388","SRR2967353","SRR2967607",
"SRR2967227","SRR2967537","SRR2967313","SRR2967270","SRR2967384","SRR2967341","SRR2967391","SRR2967359","SRR2967362",
"SRR2967228","SRR2967538","SRR2967332","SRR2967273","SRR2967387","SRR2967344","SRR2967393","SRR2967377",,
"SRR2967229","SRR2967540","SRR2967338","SRR2967278","SRR2967394","SRR2967345","SRR2967397","SRR2967376",,
"SRR2967230","SRR2967542","SRR2967339","SRR2967100","SRR2967399","SRR2967348","SRR2967398","SRR2967389",,
"SRR2967231","SRR2967546","SRR2967342","SRR2967102","SRR2967403","SRR2967349","SRR2967402","SRR2967395",,
"SRR2967232","SRR2967547","SRR2967535","SRR2967106","SRR2967406","SRR2967351","SRR2967412","SRR2967409",,
"SRR2967233","SRR2967552","SRR2967543","SRR2967116","SRR2967408","SRR2967352","SRR2967416","SRR2967417",,
"SRR2967236","SRR2967555","SRR2967541","SRR2967118","SRR2967410","SRR2967218","SRR2967420","SRR2967418",,
"SRR2967237","SRR2967556","SRR2967548","SRR2967120","SRR2967411","SRR2967361","SRR2967421",,,
"SRR2967238","SRR2967557","SRR2967549","SRR2967122","SRR2967419","SRR2967368","SRR2967422",,,
"SRR2967240","SRR2967560","SRR2967553","SRR2967123","SRR2967424","SRR2967378","SRR2967428",,,
"SRR2967243","SRR2967562","SRR2967561","SRR2967126","SRR2967427","SRR2967423","SRR2967429",,,
"SRR2967245","SRR2967564","SRR2967569","SRR2967128","SRR2967425","SRR2967431",,,,
"SRR2967246","SRR2967566","SRR2967360","SRR2967129","SRR2967432",,,,,
"SRR2967248","SRR2967568","SRR2967367","SRR2967131",,,,,,
"SRR2967249","SRR2967570","SRR2967364","SRR2967137",,,,,,
"SRR2967250","SRR2967571","SRR2967366","SRR2967575",,,,,,
"SRR2967251","SRR2967369","SRR2967396","SRR2967580",,,,,,
"SRR2967252","SRR2967382","SRR2967400","SRR2967591",,,,,,
"SRR2967256","SRR2967385","SRR2967414","SRR2967372",,,,,,
"SRR2967257","SRR2967386","SRR2967415","SRR2967390",,,,,,
"SRR2967258","SRR2967392",,,,,,,,
"SRR2967259","SRR2967405",,,,,,,,
"SRR2967261","SRR2967413",,,,,,,,
"SRR2967263","SRR2967426",,,,,,,,
"SRR2967269","SRR2967430",,,,,,,,
"SRR2967275",,,,,,,,,
"SRR2967276",,,,,,,,,
"SRR2967277",,,,,,,,,
"SRR2967101",,,,,,,,,
"SRR2967104",,,,,,,,,
"SRR2967105",,,,,,,,,
"SRR2967108",,,,,,,,,
"SRR2967111",,,,,,,,,
"SRR2967112",,,,,,,,,
"SRR2967117",,,,,,,,,
"SRR2967119",,,,,,,,,
"SRR2967124",,,,,,,,,
"SRR2967127",,,,,,,,,
"SRR2967130",,,,,,,,,
"SRR2967134",,,,,,,,,
"SRR2967136",,,,,,,,,
"SRR2967139",,,,,,,,,
"SRR2967358",,,,,,,,,
"SRR2967401",,,,,,,,,
"SRR2967404",,,,,,,,,
