Neurons	NPCs
SRR2967608	SRR2967611
SRR2967609	SRR2967619
SRR2967610	SRR2967621
SRR2967612	SRR2967627
SRR2967613	SRR2967629
SRR2967614	SRR2967630
SRR2967615	SRR2967635
SRR2967616	SRR2967639
SRR2967617	SRR2967640
SRR2967618	SRR2967644
SRR2967620	SRR2967646
SRR2967622	SRR2967648
SRR2967623	SRR2967649
SRR2967624	SRR2967657
SRR2967625	SRR2967660
SRR2967626	SRR2967661
SRR2967628	SRR2967662
SRR2967631	SRR2967663
SRR2967632	SRR2967665
SRR2967633	SRR2967666
SRR2967634	SRR2967670
SRR2967636	SRR2967671
SRR2967637	SRR2967675
SRR2967638	SRR2967677
SRR2967641	SRR2967678
SRR2967642	SRR2967683
SRR2967643	SRR2967688
SRR2967645	SRR2967689
SRR2967647	SRR2967692
SRR2967650	SRR2967699
SRR2967651	SRR2967708
SRR2967652	SRR2967710
SRR2967653	SRR2967714
SRR2967654	SRR2967715
SRR2967655	SRR2967718
SRR2967656	SRR2967722
SRR2967658	SRR2967724
SRR2967659	SRR2967728
SRR2967664	SRR2967731
SRR2967667	SRR2967733
SRR2967668	SRR2967735
SRR2967669	SRR2967736
SRR2967672	SRR2967739
SRR2967673	SRR2967740
SRR2967674	SRR2967742
SRR2967676	SRR2967743
SRR2967679	SRR2967746
SRR2967680	SRR2967757
SRR2967681	SRR2967760
SRR2967682	SRR2967761
SRR2967684	SRR2967764
SRR2967685	SRR2967769
SRR2967686	SRR2967773
SRR2967687	SRR2967778
SRR2967690	SRR2967783
SRR2967691	SRR2967785
SRR2967693	SRR2967787
SRR2967694	SRR2967794
SRR2967695	SRR2967801
SRR2967696	SRR2967810
SRR2967697	SRR2967816
SRR2967698	SRR2967820
SRR2967700	SRR2967825
SRR2967701	
SRR2967702	
SRR2967703	
SRR2967704	
SRR2967705	
SRR2967706	
SRR2967707	
SRR2967709	
SRR2967711	
SRR2967712	
SRR2967713	
SRR2967716	
SRR2967717	
SRR2967719	
SRR2967720	
SRR2967721	
SRR2967723	
SRR2967725	
SRR2967726	
SRR2967727	
SRR2967729	
SRR2967730	
SRR2967732	
SRR2967734	
SRR2967737	
SRR2967738	
SRR2967741	
SRR2967744	
SRR2967745	
SRR2967747	
SRR2967748	
SRR2967749	
SRR2967750	
SRR2967751	
SRR2967752	
SRR2967753	
SRR2967754	
SRR2967755	
SRR2967756	
SRR2967758	
SRR2967759	
SRR2967762	
SRR2967763	
SRR2967765	
SRR2967766	
SRR2967767	
SRR2967768	
SRR2967770	
SRR2967771	
SRR2967772	
SRR2967774	
SRR2967775	
SRR2967776	
SRR2967777	
SRR2967779	
SRR2967780	
SRR2967781	
SRR2967782	
SRR2967784	
SRR2967786	
SRR2967788	
SRR2967789	
SRR2967790	
SRR2967791	
SRR2967792	
SRR2967793	
SRR2967795	
SRR2967796	
SRR2967797	
SRR2967798	
SRR2967799	
SRR2967800	
SRR2967802	
SRR2967803	
SRR2967804	
SRR2967805	
SRR2967806	
SRR2967807	
SRR2967808	
SRR2967809	
SRR2967811	
SRR2967812	
SRR2967813	
SRR2967814	
SRR2967815	
SRR2967817	
SRR2967818	
SRR2967819	
SRR2967821	
SRR2967822	
SRR2967823	
SRR2967824	
SRR2967826	
SRR2967827	
SRR2967828	
SRR2967829	
SRR2967830	
SRR2967831	
SRR2967832	
SRR2967833	
